Date,LiaisonId,TauxVenteGuichet,Prediction,ErreurAbsolue,JourSemaine,Seuil,EstAnomalie
2025-10-05,16484,0.3653846,0.38854537703986125,0.02316076853270488,6,0.1377235246086606,False
2025-10-06,16484,0.4877193,0.39002270564492175,0.09769659176413586,0,0.1377235246086606,False
2025-10-07,16484,0.5,0.3911765525216768,0.10882344747832318,1,0.1377235246086606,False
2025-10-08,16484,0.49545455,0.3986748554051919,0.09677969438423684,2,0.1377235246086606,False
2025-10-09,16484,0.36065573,0.39490611612273663,0.03425039112044781,3,0.1377235246086606,False
2025-10-10,16484,0.37823835,0.3805008898047743,0.002262539651804951,4,0.1377235246086606,False
2025-10-11,16484,0.34099618,0.402510777000269,0.0615146009958592,5,0.1377235246086606,False
2025-10-12,16484,0.44791666,0.3864874072371062,0.06142924949545303,6,0.1377235246086606,False
2025-10-13,16484,0.30927834,0.3778178444742664,0.06853950532669867,0,0.1377235246086606,False
2025-10-14,16484,0.43229166,0.37920070897305086,0.053090947759508345,1,0.1377235246086606,False
2025-10-15,16484,0.40707964,0.40185169898966,0.005227938060968662,2,0.1377235246086606,False
2025-10-16,16484,0.4817987,0.3922379805776078,0.08956072786126551,3,0.1377235246086606,False
2025-10-17,16484,0.34844193,0.4007675219664381,0.0523255933413313,4,0.1377235246086606,False
2025-10-18,16484,0.43567252,0.4064702350760842,0.029202286515102316,5,0.1377235246086606,False
2025-10-19,16484,0.35576922,0.3992462806305909,0.04347706361627818,6,0.1377235246086606,False
2025-10-20,16484,0.4813084,0.38217702025434175,0.09913138037660918,0,0.1377235246086606,False
2025-10-21,16484,0.33333334,0.39687801108973064,0.06354466782228985,1,0.1377235246086606,False
2025-10-22,16484,0.3529412,0.4025152016686426,0.0495740164326654,2,0.1377235246086606,False
2025-10-24,16484,0.33333334,0.3912389413863549,0.0579055981189141,4,0.1377235246086606,False
2025-10-25,16484,0.48818898,0.4047365071102728,0.08345247489961488,5,0.1377235246086606,False
2025-10-26,16484,0.3508772,0.3771755809949282,0.02629838539823326,6,0.1377235246086606,False
2025-10-27,16484,0.3364929,0.3814286457180235,0.044935749638006395,0,0.1377235246086606,False
