TypeTitre,Date,Observe,Tendance,Saisonnalite,Residu
C,2024-01-19,0.011662006,0.014650117510511863,-0.0019821636256303204,-0.001005947506707714
C,2024-01-20,0.013927091,0.014741455393138892,-0.0011295636558825125,0.0003151991758009471
C,2024-01-21,0.015834816,0.014898626243732721,7.529674459690485e-05,0.0008608928118603466
C,2024-01-22,0.01590373,0.015068294917437735,0.0018431513655997487,-0.0010077163376162653
C,2024-01-23,0.020496076,0.015169141107397432,-0.0023507567823865677,0.007677691647903832
C,2024-01-24,0.102125764,0.01525028247643321,0.004357700929010666,0.08251778048768357
C,2024-01-25,0.024788471,0.015326442970206758,-0.0013908611257674086,0.010852889094362415
C,2024-01-26,0.014979746,0.015300186975220948,-0.0013736672325113629,0.0010532264499841255
C,2024-01-27,0.014792681,0.01496928139939591,-0.0008771403449772576,0.0007005396859377927
C,2024-01-28,0.015347213,0.01434639308739624,0.0006208907842577346,0.00037992868137031767
C,2024-01-29,0.019960614,0.013366944526939489,0.0008593726964165434,0.0057342966979286435
C,2024-01-30,0.0982726,0.012327688631608357,-0.0008442184252659454,0.08678912907353811
C,2024-01-31,0.021357756,0.011355741560645833,0.0013132331026219943,0.00868878144477775
C,2024-02-01,0.009224026,0.01041704879005146,-0.0005316149016680253,-0.0006614074244575968
C,2024-02-02,0.008192863,0.009442213376461795,-0.0008306338716275495,-0.0004187161894903899
C,2024-02-03,0.0068940553,0.008723174204087763,-0.001171532349212833,-0.0006575865665899121
C,2024-02-04,0.008084549,0.008508817967797566,0.0004803132280953401,-0.0009045825586219787
C,2024-02-05,0.008412958,0.008424865758607798,0.0006191285660318497,-0.0006310362018497884
C,2024-02-06,0.009675659,0.008363574873635926,0.0011186556816327772,0.00019342868402344102
C,2024-02-07,0.008913751,0.008351676284976118,0.0005760363109678819,-1.3961835686755741e-05
C,2024-02-08,0.009474508,0.0083937461815825,-0.00014330256568080313,0.0012240648484346996
C,2024-02-09,0.0072686146,0.008460078420417296,-0.0005991542983688129,-0.0005923095207046123
C,2024-02-10,0.0066060685,0.00850479168725631,-0.0013633167391130785,-0.0005354064860098248
C,2024-02-11,0.008897343,0.008541160603600887,0.00027031668557586896,8.58654299609133e-05
C,2024-02-12,0.010066777,0.008595247849710545,0.0006686465450535591,0.0008028821416409815
C,2024-02-13,0.00812385,0.00869181962962407,0.00015349347782329841,-0.0007214626575276668
C,2024-02-14,0.008863267,0.008812425174876234,0.00011222277385803855,-6.138139127920966e-05
C,2024-02-15,0.008196764,0.00893760023345559,0.0005457107297789374,-0.0012865472689481813
C,2024-02-16,0.009810107,0.009056377919756583,-0.0005135459268422678,0.0012672748358944705
C,2024-02-17,0.007831756,0.009211378503255083,-0.0011238641301444992,-0.00025575834755783323
C,2024-02-18,0.01038681,0.00942943041557141,0.00024663892257720103,0.0007107403685393168
C,2024-02-19,0.00986207,0.009695773635331539,0.0008748233348851386,-0.0007085269983572225
C,2024-02-20,0.009087689,0.009937778296444398,-0.00022270985807560224,-0.0006273792174634925
C,2024-02-21,0.009426863,0.010152026635790207,-0.0001658295223095496,-0.0005593341807390156
C,2024-02-22,0.0123090865,0.010368352197895805,0.000792713443596552,0.0011480208675565817
C,2024-02-23,0.009970881,0.010615394029458339,-0.0006655938119675927,2.1080827373908678e-05
C,2024-02-24,0.0110341925,0.010851661841896194,-0.0008897003206110323,0.001072230996114627
C,2024-02-25,0.009473536,0.011034933684453695,0.0006894723605998048,-0.002250869881485004
C,2024-02-26,0.012725576,0.011136473246637477,0.000865492898769206,0.0007236096816554474
C,2024-02-27,0.0113193,0.011180735864340497,-0.0005304973860138253,0.0006690616814853008
C,2024-02-28,0.011350815,0.011204961952576933,-0.0006453110964977531,0.0007911643283352067
C,2024-02-29,0.01186329,0.011257184696801667,0.000938659860069291,-0.0003325542246132105
C,2024-03-01,0.009842545,0.011339596005619354,-0.0006330281591175586,-0.0008640230524191543
C,2024-03-02,0.010091764,0.011441505809476124,-0.0007290742978439095,-0.0006206675905501956
C,2024-03-03,0.012927747,0.011551147350353617,0.0011102365323879435,0.00026636344881809763
C,2024-03-04,0.011813961,0.011729743047931361,0.0009581578084771254,-0.0008739398869603964
